Area,apparent_concern,covered_by,why
"FRONTEND RENDERING SURFACES — MapLibre custom layers, WebGL ","WebGL context loss / restore recovery has no test — nothing in the estate dispatches a webglcontextlost event, and the 11.2 failure injection has not been replayed at HEAD.","WS-CAN-0036 / WS-OBJ-103 / SOTA B11 (""Worker crash, context loss, partial data all recover — partial"") and A14","The handler exists and is correct (MapWebGL.js:703-742). The missing half is exactly what B11 and WS-OBJ-103's Required Closure Evidence (""11.2 failure injection replayed against HEAD"") already demand. The wind fallback arm being reachable by no test (force_wind_fallback is set nowhere in frontend/src or frontend/e2e, while force_marine_fallback is set at weather-simulation.spec.js:262 and _diag_maploader.mjs:60) is a sub-case of that same gap."
"FRONTEND RENDERING SURFACES — MapLibre custom layers, WebGL ",The om:// protocol returns transparent/mock tiles on several paths without a trace.,"WS-CAN-0060, WS-CAN-0061, WS-OBJ-101","Killed on inspection. The :885 transparent return is the INTENDED marine path (marine paints via WebGL, so the raster must be blank); the three block paths call traceOmBlock (:813 missing_run, :820 transparent_sentinel, :826 model_lock); the two error paths (:894, :909) emit console.error plus WeatherTelemetry.trackTileError. Instrumented, not silent — which is precisely the contrast that makes the radar family (CG-FE-RENDER-04) a finding."
"FRONTEND RENDERING SURFACES — MapLibre custom layers, WebGL ",Five MapLibre protocols are registered globally and none is ever removed (0 removeProtocol against 5 addProtocol).,"n/a — killed on evidence, not a gap","All five are idempotent: radarTileRecolor.js:581 guards on a module `_registered` flag, and openMeteoProtocol.js:912 swallows the ""already registered"" throw. MapLibre's protocol table is process-global by design, so there is no unbounded growth and no leak. Recorded in the evidence file §13, not raised."
"FRONTEND RENDERING SURFACES — MapLibre custom layers, WebGL ","The wind engine's 21 raw gl.deleteTexture calls bypass safeDeleteTexture, contradicting that function's own header claim that ""the accounting now lives in the ONE function every deletion passes through"".",folded into CG-FE-RENDER-03 rather than raised separately,"True (WebGLWindEngineInit.js 9 sites, WebGLWindEngine.js 12 sites) but currently harmless: no wind site increments __RAW_GPU__ either (`git grep -n ""textureCount++""` returns 3 sites, all marine), so the counters stay symmetric and no displayed number is wrong today. Latent invariant break, not a live defect — raising it separately would be inflation."
"FRONTEND RENDERING SURFACES — MapLibre custom layers, WebGL ","The rating band and the spot glyph disagree by 2.3-2.7x at close zoom, and the band-fade dead zone spans 9.5-40 degrees at alpha 0.",WS-CAN-0024 / WS-OBJ-602 (and the dead zone is owner-gated on __RAW_RATING_SPAN_FADE_HI__),"Both live in the surfaces I inventoried (RenderPlanDispatcher.js rating path, MapMarkerLayers.js glyphs) and both are already open with explicit ""DO NOT TUNE EITHER LANE"" guidance. Nothing to add from a coverage pass."
"FRONTEND RENDERING SURFACES — MapLibre custom layers, WebGL ",utils/WebGLFilterEngine.js:191 creates a second WebGL context with no webglcontextlost/restored handler.,out of area,"It is the photo-filter engine reached from the gallery components, not a weather-simulation render surface. Recorded in the surfaces table and evidence file §4/§13 for completeness of the ""every WebGL context"" census, deliberately not raised as a weather-sim gap."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te",The executed-GL pixel oracle is test.fixme and can never fail — still true at HEAD,WS-CAN-0018 / WS-CAN-0019 (WS-OBJ-502),"Re-confirmed by measurement, not re-reported as new. `test.fixme(` at weather-simulation.spec.js:607 x 4 projects accounts for 4 of the 5 skips in every certified-green run; the 5th is the Firefox WebGL probe at :408. The 12.1 register already states 'Still 2 test.fixme occurrences at HEAD' and 'the oracle is inside the skipped 5 (LV-02)'. My reconciliation confirms the arithmetic exactly: 5 plain test( in weather-simulation + 7 in booking-flow + 1 fixme = 13 declarations x 4 projects = 52."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te",The verdict-cache guardrail might not catch content mutations of a cache hit,WS-CAN-0031 + WS-CAN-0045 (WS-OBJ-502),"Both present at HEAD, verified by grep this audit: `created[before]` at marineMaskShelter.wrapper.test.js:162; `expectBothPhases` defined :388, asserting {hasSheltered:true, hasOpen:true} at :394, applied to the byte-identity test (:405,406) AND the post-close triple (:423,424,425). 43 test declarations under the landmine-aware regex, identical to the plain count — no hidden .each/.skip/.fixme. RV-04 already recorded M8/M9 both caught. Explicitly not re-reported."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te",useGridWorker has no test at all — the worker reply-ordering path is unguarded,WS-CAN-0008 (WS-OBJ-301),"Measured: `useGridWorker` is named by 0 of 228 frontend test files (positive controls in the same directory: WebGLMarineEngine 29, TruthOverlay 3, colorScales 2). But the 12.1 register already records this as WS-CAN-0008's Remaining Work verbatim — 'Reply-ordering test (R11-14.3) still specified and unconfirmed'. Reporting it again would be re-filing an open task."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te","TruthOverlay's fps honesty is pinned only by a source-substring guard, with no rendered payload",WS-CAN-0063 (closed) — its own closure note,"The register states it in its own words: 'NOT COVERED: TruthOverlay has no render harness, so the client half is pinned by a SOURCE guard, not a rendered payload. The backend guard cannot protect it.' Confirmed at HEAD: TruthOverlay.fpsHonesty.test.js:21 is `fs.readFileSync(… 'TruthOverlay.js')`. A closed task that names its own residual is not a blind spot."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te",200+ backend test files skip wholesale in every CI run because REACT_APP_BACKEND_URL is unset,"ci.yml:777-786 + conftest.py:26-54, both explicit","MEASURED and it matches the disclosure exactly: 210 tracked files define a module-level BASE_URL; 206 of them are in the estate lane's 256 selected files (guards 4, chain 0). ci.yml's own comment states '206 of them skip because they define a module-level BASE_URL' and forbids setting the variable ('it would point 206 modules at a live server from CI and import those 7 failures as CI noise'). The policy SKIPs rather than fake-passes, and the estate lane's MIN_PASSED=358 with a budget of 2 would redden if a currently-passing estate module mass-skipped. Known, priced, and correctly chosen — not a gap."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te","37 backend tests (test_weather_sim_mcp 28, _server_startup 3, test_debug_consciousness 6) execute in no CI lane, leaving the sim MCP tools unguarded","ci_test_lanes.py FASTMCP_EXCLUDED:165-168 + ESTATE_QUARANTINE, and the guards lane's test_sim_* family","KILLED by measurement. I checked all six sim MCP tool names against lane-claimed files: simulate_weather_change (8 lane-claimed files), find_best_window (2), find_best_spot (3), get_weather_forecast (9), get_surf_spots (2), clear_simulation_overrides (2). The TOOLS are covered by the composition lane; only the server startup/dispatch surface is not, and that is named in-source with a stated reason, asserted by test_sim_mcp_shim.py against silent widening, and surfaced by `--assert-partition`. A named, self-checking exclusion is disclosure, not a blind spot."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te","The 4,320-row JS/Python rating parity goldens were last regenerated 2026-07-28 and surf_rating.py has moved 8 commits since, so the only numeric mirror gate may be grading a historical engine",KILLED BY MEASUREMENT (relates to WS-CAN-0002 / WS-OBJ-201),"This looked like the strongest finding available and it did not survive. I regenerated all 4,320 goldens from the HEAD Python engine into the scratchpad — never touching the repo file, since gen_rating_parity_goldens.py:main() writes straight to frontend/src/__tests__/__parity_goldens.json — replicating the exact grid (6 heights x 4 periods x 5 knots x 6 wind dirs x 2 shore-normals x 3 swell dirs) and the flag-clear preamble. Result: 4320 vs 4320, SCORE differences 0, LEVEL differences 0. The 8 engine commits (incl. 97deb2f8 partition-exposure refusal and 41c67116 NaN-scores-as-epic) moved no score on this grid. The gate is grading the live engine. Recorded rather than filed."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te","The parity goldens call rating_score with 6 positional args, so reference_size_m / partitions / break_depth_m are untested — and RATING_LOCAL_SIZE=1 is live in production",KILLED BY MEASUREMENT — surfRating.test.js (54 tests),"The generator's docstring (:23-26) discloses the blind spot and instructs 'Cover those with targeted tests instead'. The instruction was followed: surfRating.test.js:76 covers the local-size curve (sizeScore(0.6,0.6), sizeScore(1.5,0.6), and a computeSurfRating A/B at ref 0.7); :144-176 cover tide bands/taper and breaker type; :221-297 cover partitions, the energy-share refusal and its boundary; :409-420 cover break-depth capacity against the SAME ETOPO fixtures the backend test uses. This also exposed my own technique failure — grep for `breakDepthM` returns 0 test files because those tests pass the value POSITIONALLY, so a parameter-name grep measures vocabulary, not execution."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te",57 backend and 16 frontend test files grade source text or AST shape rather than a computed value,WS-CAN-0018's framing + CLAUDE.md's AST-guard mandate,"Counted and recorded as an estate property, not filed. The mandate explicitly requires an AST-guarded single write site, so structural guards are the intended mechanism, and WS-CAN-0018 already carries the counter-position for the one place it is wrong ('Shader output is asserted, not source-substring-matched'). Positive control that the census technique works: it finds TruthOverlay.fpsHonesty.test.js:21, the source guard the register itself names."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te","14 monkeypatch sites substitute forecast-chain functions, so those tests assert on mocks rather than the active path","WS-CAN-0023 / the standing 'the parity block validates WIRING, never the height' position","Inspected all 14 across 5 files: every substitution is a recorder/spy/counter (recording_estimate, recorder, counted, _spy, boom) whose purpose is to prove the production call happened with production arguments. That is composition-wiring verification, which is what CLAUDE.md's ONE FORECAST COMPOSITION mandate requires, and the value half is carried separately by test_height_anchors.py and the parity goldens. The wiring-vs-value distinction is already the program's stated position."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te",`|| true` and `|| echo` appear 17 times across 12 workflows and may be swallowing assertion failures,Inspected — negative result,"Every occurrence I read is on a DIAGNOSTIC print, never on an assertion: `cat /tmp/probe.txt || echo '(no output)'`, `pip freeze | grep … || true`, `diff <(json.tool A) <(json.tool B) | head -60 || true`, `grep 'REFUSED' replay_out.txt || true`. Where a `||` supplies a fallback VALUE (data-health-monitor.yml:38 `code=$(curl … || echo '000')`, keep-warm.yml:32, marine-nightly.yml:65) that value is then graded as a failure, which is the correct pattern. No assertion in this repo is swallowed by a `|| true`."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te",python-upgrade-readiness.yml has continue-on-error on all six steps,Its own header — by design,"The workflow header states 'IT REPORTS THE WHOLE BLOCKER SET, NOT THE FIRST FAILURE. Every step is continue-on-error on purpose.' It is a report, not a gate, and it gates nothing. Distinguished from ci.yml:270, which IS a gate in a gating workflow and is filed as GAP-TEST-06."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te","The E2E lane tests a live deployment rather than a build of the checked-out tree, so a green says nothing about the commit",e2e-tests.yml:70-97 and :138-157 — measured and correct,"Tried to kill it and it killed itself. The lane waits for the Netlify dev preview's service-worker BUILD_VERSION to PREFIX-match the full commit SHA (adaptive --short length handled), and for /api/health to report the exact 40-hex SHA, and FAILS with a specific error if either never arrives ('The frontend did not deploy. E2E is NOT run rather than run against a stale bundle'). The concurrency block's own comment explains why cancel-in-progress must stay true for a lane that drives a live deployment. This is a better design than testing a local build, and it is already correct."
"TEST-COVERAGE REALITY (audit spec §14) — the test estate, te",Backend lane file floors may be stale like the frontend one,WS-CAN-0065 — measured current at HEAD,"`ci_test_lanes.py --lane guards` selects exactly 150 files against MIN_FILES=150 (ci.yml:571), and `--lane chain` selects exactly 85 against MIN_FILES=85 (ci.yml:728). Both file floors are exact and current. `--assert-partition` passes. The floor-staleness gate, the pre-push hook, and the two dedicated test files (test_ci_floor_staleness.py, test_ci_lane_single_source.py) are doing their job on the lanes they cover — which is precisely why the frontend's exclusion from them (GAP-TEST-01) is the finding rather than staleness in general."
BACKEND API SURFACE the weather sim depends on — every regis,"GET /api/weather/buoy-calibration returns {""available"": false} for both 'L2 blob unreadable' and 'report never generated' — a refusal that cannot distinguish blind from empty, on the only live input to the accuracy gate",WS-CAN-0026 / WS-OBJ-501,"The consumer already treats the ambiguity as blindness: backend/scripts/forecast_accuracy_monitor.py:129-132 returns REFUSED on `report.get('available') is not True` with the message 'ACCURACY MONITOR IS BLIND -- calibration report unreachable or unavailable. This is refusal, NOT health and NOT a measured breach'. Correct as built; no gap."
BACKEND API SURFACE the weather sim depends on — every regis,"GET /api/weather/point computes truthTag and gridPointParity only when model=GFS+marine+waves or domain=wind (weather.py:196-198), so ICON and EURO marine point responses carry neither",WS-CAN-0035 + the client-side parity implementation,"The marine client computes parity itself with the three-state refusal (forecastDeprecationDiag.js:66-80, parityStatus/unsampledReasons); the only reader of the BACKEND field is backendWindServiceClient.js:317, and wind always satisfies the gate. No rendering surface loses parity because of the model gate."
BACKEND API SURFACE the weather sim depends on — every regis,GET /api/weather/grid_series sits at p90 >= 10 s with 4 of 22 calls over 10 s at HEAD (max 17.9 s) and has no WS-CAN id of its own,SOTA B3 + WS-OBJ-302 + WS-CAN-0064's own disposition note,"B3 already requires per-route p50/p99 with a stated envelope, and 12.0 named grid_series (p99 31.1 s, 36.8% over 10 s) in EXECUTIVE_WHERE_WE_STAND_BRIEF.md:95 and CURRENT_STATE_MATURITY_SCORECARD.md:44. At HEAD its p50 is 5,000 ms, so it passes WS-OBJ-302's median-only criterion. The residue is that WS-OBJ-302's closure criterion is narrower than the B3 contract it serves — an objective-criterion observation, not an uncovered route."
BACKEND API SURFACE the weather sim depends on — every regis,GET /api/weather/spot-ratings swallows an L2 precompute read failure (weather.py:502-504) and silently switches to the live lane,the endpoint's own disclosure contract (WS-OBJ-002 / WS-CAN-0023),"`source` discloses the lane (precomputed | precomputed_stale | live | disabled) and served_valid_time + frame_offset_hours disclose which frame was served. This is the disclosure discipline the objective asks for, not a silent failure."
BACKEND API SURFACE the weather sim depends on — every regis,"GET /api/weather/products has no frontend caller and sits at p50 5,000 ms with no error contract at all",WS-OBJ-302 via 12.1 LV-07,"12.1 LV-07 already measured it (n=51, p50 5,000 ms, p99 10,669 ms). At HEAD: n=74, avg 4,052 ms, max 9,656 ms, over_10000ms=0 — under the 10 s median bound. Measured, named, and inside budget; the 'no frontend caller' fact is inventory, not a defect (it is a census endpoint for scripts)."
BACKEND API SURFACE the weather sim depends on — every regis,GET /api/weather/status reports not_instrumented instead of provider health numbers,WS-CAN-0010,"This IS the fix (R11-08), not the defect. weather.py:676-702 documents the removal of the hardcoded 'healthy' and the pointer to /api/health and /api/health/data."
BACKEND API SURFACE the weather sim depends on — every regis,"backend/routes/weather_ingest.py is not imported by backend/routes/__init__.py, so its 19 endpoints look dead",refuted by execution — recorded so a later pass does not repeat it,"backend/routes/weather.py:778-779 does `from .weather_ingest import router as ingest_router; router.include_router(ingest_router)`, and all 19 appear in the runtime APIRoute dump under /api/weather/. A static read of routes/__init__.py alone gives the wrong answer; reachability had to be executed."
BACKEND API SURFACE the weather sim depends on — every regis,Only 3 of the 65 weather-bearing routes declare a Pydantic response_model; the other 62 return hand-built dicts,the register's own producer-key drop history (SpotRatingItem comments at weather.py:372-417; conditions.py:155-167),"Not reported as a gap because the register documents the OPPOSITE failure mode as the live one: a declared Pydantic model SILENTLY DROPS undeclared producer keys (`limiter` at 6da4c16e, the geometry envelope at e8b38e42, forecast_confidence at MASTER-AUDIT-10.0 §1.2), and a hand-listed response whitelist has the same failure mode. 'Declare more models' is not obviously the right remedy, so this stays an inventory fact (headline count in the evidence file), not a recommendation."
WORKERS + SERVICE WORKER + CACHES + STORAGE,"The L1 product filename carries model, domain, layer, region, valid_time and an estimated flag but NO run/cycle component, so two ingests of different cycles for the same valid_time collide on one filename","WS-CAN-0005 (+ WS-OBJ-202, SOTA A2)","The row title is literally 'True model-cycle identity: thread cycle_dt as run_time, keep wall-clock as ingested_at, key L1 by run' and its named symbol is store_helpers.py:81-86 _build_product_filename, which is the exact line I measured (`f""{model}_{domain}_{layer}{region_suffix}_{valid_time:%Y%m%dT%H%M%SZ}{estimated_suffix}.json""`). Its 12.1 scope finding already stages the fix. Nothing to add."
WORKERS + SERVICE WORKER + CACHES + STORAGE,"The L2 Supabase download is written straight to L1 with no length check, no Range validation and no checksum",WS-CAN-0017 / WS-OBJ-304 / SOTA B14,"store_helpers.py:632-637 download -> write_bytes -> rename is precisely the seam the row names ('end-to-end checksum, byte-count/Range validation, register-after-upload-confirm'), and the row's evidence field already records that the only two hashlib uses in the pipeline are an md5 rollout bucket and a manifest-restore skip optimisation."
WORKERS + SERVICE WORKER + CACHES + STORAGE,"A corrupt L1 product is logged, returns None, and is never re-downloaded or removed because filepath.exists() short-circuits the L2 branch forever after",WS-CAN-0017,"'L1 revalidation' is an explicit clause of the row. The unlink/os.remove sites in store_helpers.py and store.py are both on .tmp paths, never on a corrupt product -- which is the condition the clause describes."
WORKERS + SERVICE WORKER + CACHES + STORAGE,"_FORECAST_CACHE is keyed (round(lat,4), round(lng,4), valid_time) with no model component, so a model switch serves the previous model's cached answer",WS-CAN-0006,"The register row quotes this exact key tuple verbatim: 'sim_forecast.py:55 import-time MODEL; _FORECAST_CACHE key (lat4,lng4,valid_time)'. I re-verified the key at sim_forecast.py:374 and :392 at HEAD; nothing has changed."
WORKERS + SERVICE WORKER + CACHES + STORAGE,"force_wind_fallback and force_marine_fallback persist in localStorage with no TTL and survive every deploy, and the E2E spec seeds them",WS-CAN-0022,"'persisted force_*_fallback keys' is one of the four residuals named in the row title. The row is Not Started / Verification Failed, so it is open and correctly scoped."
WORKERS + SERVICE WORKER + CACHES + STORAGE,"useGridWorker has an onerror handler but no proven reply-ordering guarantee, and its cleanup deliberately does not terminate the module-level worker instance",WS-CAN-0008,"Same file, same seam: the row names useGridWorker.js:42 onerror = onmessageerror and :68 re-create on next use, with remaining work 'Reply-ordering test (R11-14.3)'. I confirmed onerror is present at HEAD. (The separate REACHABILITY problem with this row is filed as G12.2-WSW-08 -- that is a correction to the row's premise, not a duplicate of its content.)"
WORKERS + SERVICE WORKER + CACHES + STORAGE,"The service worker's exclusion list matches hostnames and paths by substring (hostname.includes('tile.'), '.om', pathname.includes('/weather')), the same shape that let '.js' match '.json'",WS-CAN-0059 (closed),"The .js/.json fix established the class and is closed. I walked every weather route actually in use against service-worker.js:91-104 and found NO live false match, so re-filing this would be a class observation dressed as a defect. Recorded in the evidence file as a class note only."
WORKERS + SERVICE WORKER + CACHES + STORAGE,"Production serves a service worker whose BUILD_VERSION is 85 days old, so production users are on a frozen bundle regardless of anything found here",WS-CAN-0039 / WS-OBJ-104 / SOTA A18,"The row carries the measurement twice (prod 3bd38a83 = 2026-05-20 vs dev = HEAD exactly) and is explicitly OWNER DECISION ONLY. This is the frame for every frontend finding in this area, not a new finding."
WORKERS + SERVICE WORKER + CACHES + STORAGE,Repo-wide greps read .claude/worktrees/ and can return values from another branch's tree,WS-CAN-0055 / WS-OBJ-704,I hit this during the audit (a repo-root grep exceeded a 2-minute timeout crawling the worktree). Already registered; I scoped every count to frontend/ or backend/ instead. No new claim.
WORKERS + SERVICE WORKER + CACHES + STORAGE,"There is no rendered-frame or pixel-level assertion anywhere in the E2E lane, so no test could prove the SW is not serving something stale to the GPU",WS-CAN-0018 / WS-CAN-0019,"The pixel-oracle / test.fixme gap is those rows' subject. My service-worker finding (G12.2-WSW-02) is narrower and distinct: the SW is not merely un-asserted, it is actively replaced by never-settling promises in beforeEach, so it never RUNS -- a different mechanism from a missing assertion."
WORKERS + SERVICE WORKER + CACHES + STORAGE,"MODEL_METADATA_CACHE ships bootstrap axes, so any UI reading validTimes from it could manufacture a false 'stale hour' banner",Existing production code -- modelProvenance.js:91-100 describeStaleHour,Not a gap at all: the module already REFUSES on placeholder data (`if (!live.has(omModelId)) return null`) with the reasoning in-comment. I record it as a strength and it correctly narrows G12.2-WSW-01 to the reference_time / last_modified_time fabrication rather than the whole cache.
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,"A map render crash never reaches the server — MapErrorBoundary.js:18-20 only calls logger.error, emits no truth event and no client-diagnostics POST",WS-CAN-0020 / WS-OBJ-504,"WS-OBJ-504's intended outcome is literally 'A frontend incident reaches a server without asking a user', and WS-CAN-0020 records TruthOverlay.js:141 as the only client-to-server transport in the system. A map crash is exactly the incident class that uplink exists to carry; its prerequisite WS-CAN-0063 is now closed."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,A RAF loop keeps running after the user navigates away from /map,WS-CAN-0022 / WS-OBJ-301,"Named site-for-site (WeatherTelemetry.js:397-399, requestAnimationFrame with zero cancelAnimationFrame in the file) and confirmed at runtime by 12.1 LV-04 (__RAW_GPU__.activeRafCount = 1 with activeLayers = []). MapWebGL.js:683-693 does dispose everything else on unmount."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,"A change to shared subscription state tears down and re-initialises the weather engine (MapWebGL.js effect deps [mapInstance, userTier])",WS-CAN-0022,"'userTier zombie shutdown' is one of the four named render-lifecycle residuals in that task. NOTE the part that is NOT covered and is reported separately as SUR-XF-tier-gates-forecast: userTier also selects the forecast horizon and the allowed model set, which is a data-content dependency, not a lifecycle one."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,/api/conditions/batch takes about a minute at the median,WS-CAN-0064 / WS-OBJ-302,"Measured in two consecutive audits (12.0 RV-01 p50 52,238 ms; 12.1 LV-01 p50 58,713 ms) with the file named. Only the client-side consequence is uncovered, which is why XF-GAP-05 is filed as Expand Existing Task rather than a new id."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,"/conditions/* returns HTTP 200 carrying an error body and leaks str(e) — verified live at HEAD at conditions.py:172,176,212,216,270,274,327,331 plus the batch per-spot error tuple",WS-CAN-0009 / WS-OBJ-103,"Nine sites, four of them raw str(e), already enumerated in the register with the same file; the register also already directs that WS-CAN-0009 and WS-CAN-0064 be scoped together in one visit to conditions.py."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,The grid worker is shared infrastructure that could freeze a lane on crash,WS-CAN-0008 / WS-OBJ-301,"useGridWorker.js:42 onerror and :68 re-create are already recorded, with the reply-ordering test named as remaining work. My census adds only that no worker is SHARED across the boundary: `new Worker(` occurs at exactly two sites app-wide, useGridWorker.js:25 (weather) and useSessionTracker.js:22 (gpsWorker), with nothing in common."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,The service worker might serve a stale cached forecast,not a defect — verified closed by reading,"service-worker.js:91-104 explicitly returns before respondWith for open-meteo.com, rainviewer, tiles., tile., maplibre, the om protocol, and any pathname containing /marine or /weather (which covers /api/weather/spot-ratings). /api/conditions/* and /api/tides/* match neither the exclusion list nor OFFLINE_API_PATTERNS (:19-23) and fall through to the terminal native-fetch branch. Correct today, but reached by omission rather than by rule — recorded in §3.5 of the evidence file."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,backend/services/surf_conditions.py is an unrepaired fourth forecast path serving offshore Hs as surf height,"already repaired — WS-OBJ-201's chain, applied in-file","surf_conditions.py:61-95 _breaking_ft calls resolve_surf_geometry + estimate_surf_at and carries the record of the fix, mirroring spot_conditions._breaking_ft (902f47a9). grep -c compute_surf_rating on the file → 0 with a positive control on the same file (estimate_surf_at → 3), so the height is chain-derived and only the quality is absent — a weaker instance of XF-GAP-02 on a session-record surface, not a separate finding."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,Chain callers might forget spot_id and silently fall back to the global size curve,backend/tests/test_spot_hub_local_size_reference.py:273-306,"An executing AST census pins all 7 resolve_spot_conditions calls across 5 modules (explore, spot_details, alerts, conditions x3, scheduler.surf_alerts) and asserts every one passes spot_id. Notably this is the ONLY guard in the estate that already knows scheduler.surf_alerts is a chain caller — it counts the module but says nothing about what the module does with the result."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,The weather map is English-only while the app ships es/pt locales,not weather-specific — killed by positive control,"grep -rln useTranslation over all of frontend/src returns 2 files, and both are the i18n infrastructure itself (i18n.js, hooks/useLocale.js). The entire application is un-internationalised, so the map is not an outlier and this is not a cross-boundary gap."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,Spot-of-the-Day's FLAT/POOR/FAIR/GOOD/GOOD_TO_EPIC/EPIC enum is a second rating vocabulary competing with the chain's seven levels,not a bypass — both call sites read,"spot_of_day.py:122 takes rating as a photographer-supplied query param, and the two frontend colour maps (SpotDrawerHelpers.js:43, SpotUIComponents.js:27) are fed exclusively from spotOfTheDay.rating. No forecast value is routed into either switch. Recorded in §1.5 with the latent hazard noted (both .toUpperCase() and fall through to a default, so a forecast fair_good routed here would degrade silently)."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,A 401 on a weather request would eject the user and destroy the GL context mid-session,cannot originate weather-side — verified by reading the route decorators,"backend/routes/weather.py carries no identity dependency on any of its ten public routes (only :759 get_diagnostics_log has Depends(get_current_admin)), and routes/surf_data/conditions.py carries only Depends(get_db). apiClient.js:109-131 will still redirect on a 401 raised by a concurrent non-weather poller during a long map dwell, but that is app-wide behaviour with weather as a passive victim, not a weather dependency defect."
CROSS-FEATURE + SHARED-INFRASTRUCTURE DEPENDENCIES (audit sp,Global CSS or a shared viewport utility could break the map canvas,not a dependency — verified by grep,"grep -n 'canvas|maplibre|mapboxgl' over src/index.css and src/App.css returns zero matches; src/styles/ contains exactly two files and both are weather-owned (map-status.css, wraparound.css). No shared viewport-measurement utility crosses the boundary."
